,provinsi,kab_kota,kecamatan,url
30,Prov. Jawa Barat,Kab. Bogor,Kec. Cijeruk,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020508
31,Prov. Jawa Barat,Kab. Bogor,Kec. Klapanunggal,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020533
32,Prov. Jawa Barat,Kab. Bogor,Kec. Dramaga,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020506
33,Prov. Jawa Barat,Kab. Bogor,Kec. Tamansari,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020531
34,Prov. Jawa Barat,Kab. Bogor,Kec. Tenjolaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020540
35,Prov. Jawa Barat,Kab. Bogor,Kec. Sukamakmur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020515
36,Prov. Jawa Barat,Kab. Bogor,Kec. Ranca Bungur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020535
37,Prov. Jawa Barat,Kab. Bogor,Kec. Cariu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020516
38,Prov. Jawa Barat,Kab. Bogor,Kec. Tanjung Sari,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020536
39,Prov. Jawa Barat,Kab. Bogor,Kec. Sukajaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020534
40,Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020813
41,Prov. Jawa Barat,Kab. Bandung,Kec. Rancaekek,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020811
42,Prov. Jawa Barat,Kab. Bandung,Kec. Baleendah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020814
43,Prov. Jawa Barat,Kab. Bandung,Kec. Majalaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020812
44,Prov. Jawa Barat,Kab. Bandung,Kec. Paseh,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020808
45,Prov. Jawa Barat,Kab. Bandung,Kec. Cileunyi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020824
46,Prov. Jawa Barat,Kab. Bandung,Kec. Pangalengan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020804
47,Prov. Jawa Barat,Kab. Bandung,Kec. Pacet,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020806
48,Prov. Jawa Barat,Kab. Bandung,Kec. Cimenyan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020826
49,Prov. Jawa Barat,Kab. Bandung,Kec. Cicalengka,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020810
50,Prov. Jawa Barat,Kab. Bandung,Kec. Banjaran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020816
51,Prov. Jawa Barat,Kab. Bandung,Kec. Arjasari,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020815
