provinsi,kab_kota,kecamatan,url
Prov. Sulawesi Utara,Kota Manado,Kec. Wenang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176003
Prov. Sulawesi Utara,Kota Manado,Kec. Wanea,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176006
Prov. Sulawesi Utara,Kota Manado,Kec. Tuminting,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176008
Prov. Sulawesi Utara,Kota Manado,Kec. Tikala,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176007
Prov. Sulawesi Utara,Kota Manado,Kec. Malalayang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176001
Prov. Sulawesi Utara,Kota Manado,Kec. Mapanget,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176004
Prov. Sulawesi Utara,Kota Manado,Kec. Paal Dua,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176010
Prov. Sulawesi Utara,Kota Manado,Kec. Sario,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176002
Prov. Sulawesi Utara,Kota Manado,Kec. Singkil,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176009
Prov. Sulawesi Utara,Kota Manado,Kec. Bunaken,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176005
Prov. Sulawesi Utara,Kota Manado,Kec. Bunaken Kepulauan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/176011
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Tareran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170510
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Tenga,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170505
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Amurang Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170517
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Ranoyapo,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170503
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Sinonsayang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170524
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Modoinding,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170501
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Maesaan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170516
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Tompaso Baru,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170502
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Tumpaan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170523
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Amurang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170509
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Amurang Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170518
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Suluun Tareran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170522
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Tatapan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170519
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Motoling Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170521
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Motoling,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170504
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Motoling Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170520
Prov. Sulawesi Utara,Kab. Minahasa Selatan,Kec. Kumelembuai,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170515
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Dumoga Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170120
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Lolak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170111
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Dumoga Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170119
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Lolayan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170106
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Poigar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170109
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Dumoga Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170117
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Bolaang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170110
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Passi Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170128
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Sangtombolang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170112
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Passi Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170129
Prov. Sulawesi Utara,Kab. Bolaang Mongondow,Kec. Bolaang Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/170133
