Our Data,Map Data,Lev_ratio,Inter_Ratio,Rank,Rank2
Kab. Aceh Barat,Aceh Barat,0.8,1.0,1.0,1.0
Kab. Aceh Barat Daya,Aceh Barat Daya,0.8571428571428571,0.99375,1.0,1.0
Kab. Aceh Besar,Aceh Besar,0.8,1.0,1.0,1.0
Kab. Aceh Jaya,Aceh Jaya,0.782608695652174,0.9935064935064936,1.0,1.0
Kab. Aceh Selatan,Aceh Selatan,0.8275862068965517,0.993485342019544,1.0,1.0
Kab. Aceh Singkil,Aceh Singkil,0.8275862068965517,0.9647058823529412,1.0,1.0
Kab. Aceh Tamiang,Aceh Tamiang,0.8275862068965517,1.0,1.0,1.0
Kab. Aceh Tengah,Aceh Tengah,0.8148148148148148,1.0,1.0,1.0
Kab. Aceh Tenggara,Aceh Tenggara,0.8387096774193549,0.993103448275862,1.0,1.0
Kab. Aceh Timur,Aceh Timur,0.8,0.9951807228915662,1.0,1.0
Kab. Aceh Utara,Aceh Utara,0.8,0.9982935153583617,1.0,1.0
Kab. Agam,Agam,0.6153846153846154,0.9888682745825603,1.0,1.0
Kab. Alor,Alor,0.6153846153846154,0.9977220956719818,1.0,1.0
Kab. Bekasi,Bekasi,0.7058823529411765,0.9945188794153471,1.0,1.0
Kab. Belitung,Belitung,0.7619047619047619,1.0,1.0,1.0
Kab. Belitung Timur,Belitung Timur,0.8484848484848485,0.9930555555555556,1.0,1.0
Kab. Belu,Belu,0.6153846153846154,1.0,1.0,1.0
Kab. Bener Meriah,Bener Meriah,0.8275862068965517,0.995475113122172,1.0,1.0
Kab. Bengkalis,Bengkalis,0.782608695652174,0.9756554307116105,1.0,1.0
Kab. Bengkayang,Bengkayang,0.8,0.9898734177215189,1.0,1.0
Kab. Bengkulu Selatan,Bengkulu Selatan,0.8648648648648649,1.0,1.0,1.0
Kab. Bengkulu Tengah,Bengkulu Tengah,0.8571428571428571,0.9347826086956522,1.0,1.0
Kab. Bengkulu Utara,Bengkulu Utara,0.8484848484848485,0.9882352941176471,1.0,1.0
Kab. Berau,Berau,0.6666666666666666,0.9920318725099602,1.0,1.0
Kab. Biak Numfor,Biak Numfor,0.8148148148148148,1.0,1.0,1.0
Kab. Bima,Bima,0.6153846153846154,0.9984591679506933,1.0,1.0
Kab. Bintan,Bintan,0.7058823529411765,1.0,1.0,1.0
Kab. Bireuen,Bireuen,0.7368421052631579,0.9865229110512129,1.0,1.0
Kab. Blitar,Blitar,0.7058823529411765,0.9975990396158463,1.0,1.0
Kab. Blora,Blora,0.6666666666666666,1.0,1.0,1.0
Kab. Boalemo,Boalemo,0.7368421052631579,1.0,1.0,1.0
Kab. Bogor,Bogor,0.6666666666666666,0.9942196531791907,1.0,1.0
Kab. Bojonegoro,Bojonegoro,0.8,1.0,1.0,1.0
Kab. Bolaang Mongondow,Bolaang Mongondow,0.8717948717948718,0.9968944099378882,1.0,1.0
Kab. Bolaang Mongondow Selatan,Bolaang Mongondow Selatan,0.9090909090909091,1.0,1.0,1.0
Kab. Bolaang Mongondow Timur,Bolaang Mongondow Timur,0.9019607843137255,0.9895833333333334,1.0,1.0
Kab. Bolaang Mongondow Utara,Bolaang Mongondow Utara,0.9019607843137255,0.9747899159663865,1.0,1.0
Kab. Bombana,Bombana,0.7368421052631579,0.9961389961389961,1.0,1.0
Kab. Bondowoso,Bondowoso,0.782608695652174,0.9985714285714286,1.0,1.0
Kab. Bone,Bone,0.6153846153846154,0.9976442873969376,1.0,1.0
Kab. Bone Bolango,Bone Bolango,0.8275862068965517,1.0,1.0,1.0
Kab. Boven Digoel,Boven Digoel,0.8275862068965517,1.0,1.0,1.0
Kab. Boyolali,Boyolali,0.7619047619047619,0.9961240310077519,1.0,1.0
Kab. Brebes,Brebes,0.7058823529411765,0.9956634865568084,1.0,1.0
Kab. Buleleng,Buleleng,0.7619047619047619,1.0,1.0,1.0
Kab. Bulukumba,Bulukumba,0.782608695652174,0.9977116704805492,1.0,1.0
Kab. Bulungan,Bulungan,0.7619047619047619,0.9911504424778761,1.0,1.0
Kab. Bungo,Bungo,0.6666666666666666,0.9825072886297376,1.0,1.0
Kab. Buol,Buol,0.6153846153846154,1.0,1.0,1.0
Kab. Buru,Buru,0.6153846153846154,0.9864253393665159,1.0,1.0
Kab. Buru Selatan,Buru Selatan,0.8275862068965517,0.9883720930232558,1.0,1.0
Kab. Buton Utara,Buton Utara,0.8148148148148148,0.9846153846153847,1.0,1.0
Kab. Ciamis,Ciamis,0.7058823529411765,0.9959266802443992,1.0,1.0
Kab. Cianjur,Cianjur,0.7368421052631579,0.996230479267636,1.0,1.0
Kab. Asahan,Asahan,0.7058823529411765,0.9858934169278997,1.0,1.0
Kab. Asmat,Asmat,0.6666666666666666,0.9490445859872612,1.0,1.0
Kab. Badung,Badung,0.7058823529411765,0.9924433249370277,1.0,1.0
Kab. Balangan,Balangan,0.7619047619047619,0.9619047619047619,1.0,1.0
Kab. Bandung,Bandung,0.7368421052631579,0.9946183953033269,1.0,1.0
Kab. Cilacap,Cilacap,0.7368421052631579,1.0,1.0,1.0
Kab. Cirebon,Cirebon,0.7368421052631579,0.9961270333075135,1.0,1.0
Kab. Dairi,Dairi,0.6666666666666666,0.9945945945945946,1.0,1.0
Kab. Deiyai,Deiyai,0.7058823529411765,0.971830985915493,1.0,1.0
Kab. Deli Serdang,Deli Serdang,0.8275862068965517,0.9584352078239609,1.0,1.0
Kab. Demak,Demak,0.6666666666666666,0.9985141158989599,1.0,1.0
Kab. Dharmasraya,Dharmasraya,0.8148148148148148,1.0,1.0,1.0
Kab. Dogiyai,Dogiyai,0.7368421052631579,1.0,1.0,1.0
Kab. Dompu,Dompu,0.6666666666666666,1.0,1.0,1.0
Kab. Donggala,Donggala,0.7619047619047619,0.9875,1.0,1.0
Kab. Empat Lawang,Empat Lawang,0.8275862068965517,0.9875518672199171,1.0,1.0
Kab. Ende,Ende,0.6153846153846154,0.9978213507625272,1.0,1.0
Kab. Enrekang,Enrekang,0.7619047619047619,0.9965753424657534,1.0,1.0
Kab. Fak-Fak,Fakfak,0.5555555555555556,0.9784172661870504,1.0,1.0
Kab. Flores Timur,Flores Timur,0.8275862068965517,1.0,1.0,1.0
Kab. Garut,Garut,0.6666666666666666,0.9965095986038395,1.0,1.0
Kab. Gayo Lues,Gayo Lues,0.782608695652174,1.0,1.0,1.0
Kab. Gianyar,Gianyar,0.7368421052631579,1.0,1.0,1.0
Kab. Gorontalo,Gorontalo,0.782608695652174,0.9848156182212582,1.0,1.0
Kab. Gorontalo Utara,Gorontalo Utara,0.8571428571428571,0.9849246231155779,1.0,1.0
Kab. Gowa,Gowa,0.6153846153846154,0.9931856899488927,1.0,1.0
Kab. Gresik,Gresik,0.7058823529411765,0.9838945827232797,1.0,1.0
Kab. Grobogan,Grobogan,0.7619047619047619,0.9970674486803519,1.0,1.0
Kab. Gunung Kidul,Gunung Kidul,0.8275862068965517,0.9939759036144579,1.0,1.0
Kab. Gunung Mas,Gunung Mas,0.8,0.97265625,1.0,1.0
Kab. Halmahera Barat,Halmahera Barat,0.8571428571428571,0.9742647058823529,1.0,1.0
Kab. Halmahera Selatan,Halmahera Selatan,0.8717948717948718,1.0,1.0,1.0
Kab. Halmahera Tengah,Halmahera Tengah,0.8648648648648649,1.0,1.0,1.0
Kab. Halmahera Timur,Halmahera Timur,0.8571428571428571,1.0,1.0,1.0
Kab. halmahera Utara,Halmahera Utara,0.8,0.9969040247678018,1.0,1.0
Kab. Hulu Sungai Selatan,Hulu Sungai Selatan,0.8837209302325582,0.9931972789115646,1.0,1.0
Kab. Hulu Sungai Tengah,Hulu Sungai Tengah,0.8780487804878049,0.9968652037617555,1.0,1.0
Kab. Hulu Sungai Utara,Hulu Sungai Utara,0.8717948717948718,0.9913793103448276,1.0,1.0
Kab. Humbang Hasudutan,Humbang Hasundutan,0.85,0.9761092150170648,1.0,1.0
Kab. Indragiri Hilir,Indragiri Hilir,0.8571428571428571,0.983402489626556,1.0,1.0
Kab. Indragiri Hulu,Indragiri Hulu,0.8484848484848485,0.9929577464788732,1.0,1.0
Kab. Indramayu,Indramayu,0.782608695652174,0.9969465648854962,1.0,1.0
Kab. Bandung Barat,Bandung Barat,0.8387096774193549,0.9868667917448405,1.0,1.0
Kab. Intan Jaya,Intan Jaya,0.8,0.9555555555555556,1.0,1.0
Kab. Jaya Wijaya,Jayawijaya,0.6923076923076923,0.9883040935672515,1.0,1.0
Kab. Jayapura,Jayapura,0.7619047619047619,0.995,1.0,1.0
Kab. Jember,Jember,0.7058823529411765,0.9993819530284301,1.0,1.0
Kab. Jembrana,Jembrana,0.7619047619047619,1.0,1.0,1.0
Kab. Jeneponto,Jeneponto,0.782608695652174,0.9975669099756691,1.0,1.0
Kab. Jepara,Jepara,0.7058823529411765,0.9895150720838795,1.0,1.0
Kab. Jombang,Jombang,0.7368421052631579,1.0,1.0,1.0
Kab. Kaimana,Kaimana,0.7368421052631579,0.7747747747747747,1.0,1.0
Kab. Kampar,Kampar,0.7058823529411765,0.9670487106017192,1.0,1.0
Kab. Kapuas,Kapuas,0.7058823529411765,0.9199288256227758,1.0,1.0
Kab. Kapuas Hulu,Kapuas Hulu,0.8148148148148148,0.9981617647058824,1.0,1.0
Kab. Karang Asem,Karangasem,0.6923076923076923,1.0,1.0,1.0
Kab. Karanganyar,Karanganyar,0.8148148148148148,0.9922239502332815,1.0,1.0
Kab. Karawang,Karawang,0.7619047619047619,0.9983883964544722,1.0,1.0
Kab. Karimun,Karimun,0.7368421052631579,1.0,1.0,1.0
Kab. Karo,Karo,0.6153846153846154,0.9924433249370277,1.0,1.0
Kab. Katingan,Katingan,0.7619047619047619,0.9724770642201835,1.0,1.0
Kab. Kaur,Kaur,0.6153846153846154,1.0,1.0,1.0
Kab. Kayong Utara,Kayong Utara,0.8275862068965517,0.9875776397515528,1.0,1.0
Kab. Kebumen,Kebumen,0.7368421052631579,1.0,1.0,1.0
Kab. Kediri,Kediri,0.7058823529411765,0.9988826815642458,1.0,1.0
Kab. Keerom,Keerom,0.7058823529411765,0.99,1.0,1.0
