provinsi,kab_kota,kecamatan,url
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Percut Sei Tuan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070126
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sunggal,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070123
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Tanjung Morawa,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070120
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Hamparan Perak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070124
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Lubuk Pakam,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070130
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Pancur Batu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070105
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Galang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070119
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Patumbak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070121
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070104
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Beringin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070129
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Labuhan Deli,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070125
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Batang Kuis,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070127
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070106
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Stm Hilir,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070132
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070122
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Pantai Labu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070128
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sibiru-biru,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070107
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Bangun Purba,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/070109
