provinsi,kab_kota,kecamatan,url
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Kemayoran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016006
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Sawah Besar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016007
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Senen,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016003
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Gambir,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016008
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Tanah Abang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016001
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Menteng,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016002
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Johar Baru,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016004
Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Kec. Cempaka Putih,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/016005
Prov. D.K.I. Jakarta,Kab. Kepulauan Seribu,Kec. Kepulauan Seribu Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/010101
Prov. D.K.I. Jakarta,Kab. Kepulauan Seribu,Kec. Kepulauan Seribu Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/010102
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Palasa,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180818
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Tinombo Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180810
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Tinombo,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180804
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Parigi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180802
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Ampibabo,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180803
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Kasimbar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180808
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Bolano Lambunu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180807
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Parigi Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180811
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Ongka Malino,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180890
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Toribulu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180816
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Tomini,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180805
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Sausu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180801
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Mepanga,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180812
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Moutong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180806
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Bolano,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180891
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Sidoan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180893
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Balinggi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180821
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180809
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Taopa,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180819
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Parigi Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180820
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Siniu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180817
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Parigi Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180815
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Parigi Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180814
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Toili,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180401
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Pagimana,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180406
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Luwuk,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180405
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Bualemo,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180409
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Bunta,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180403
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Nuhon,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180411
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Toili Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180410
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Luwuk Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180412
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Batui Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180415
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Batui,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180402
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Moilong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/180414
