provinsi,kab_kota,kecamatan,url
Prov. Lampung,Kota Metro,Kec. Metro Pusat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/126101
Prov. Lampung,Kota Metro,Kec. Metro Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/126103
Prov. Lampung,Kota Metro,Kec. Metro Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/126104
Prov. Lampung,Kota Metro,Kec. Metro Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/126105
Prov. Lampung,Kota Metro,Kec. Metro Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/126102
Prov. Sumatera Selatan,Kota Palembang,Kec. Ilir Barat I,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116004
Prov. Sumatera Selatan,Kota Palembang,Kec. Kalidoni,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116014
Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116008
Prov. Sumatera Selatan,Kota Palembang,Kec. Ilir Timur II,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116006
Prov. Sumatera Selatan,Kota Palembang,Kec. Kemuning,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116009
Prov. Sumatera Selatan,Kota Palembang,Kec. Plaju,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116010
Prov. Sumatera Selatan,Kota Palembang,Kec. Kertapati,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116011
Prov. Sumatera Selatan,Kota Palembang,Kec. Ilir Timur I,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116005
Prov. Sumatera Selatan,Kota Palembang,Kec. Sako,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116007
Prov. Sumatera Selatan,Kota Palembang,Kec. Seberang Ulu II,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116003
Prov. Sumatera Selatan,Kota Palembang,Kec. Seberang Ulu I,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116002
Prov. Sumatera Selatan,Kota Palembang,Kec. Jakabaring,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116018
Prov. Sumatera Selatan,Kota Palembang,Kec. Alang-Alang Lebar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/116015
