provinsi,kab_kota,url
Prov. Jawa Timur,Kota Probolinggo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/056700
Prov. Jawa Timur,Kota Madiun,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/056200
Prov. Jawa Timur,Kota Batu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/056800
Prov. Jawa Timur,Kota Pasuruan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/056600
Prov. Jawa Timur,Kota Blitar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/056500
Prov. Jawa Timur,Kota Mojokerto,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/056400
Prov. Jawa Tengah,Kab. Cilacap,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030100
Prov. Jawa Tengah,Kab. Brebes,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032900
Prov. Jawa Tengah,Kab. Banyumas,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030200
Prov. Jawa Tengah,Kab. Grobogan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031500
Prov. Jawa Tengah,Kab. Kebumen,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030500
Prov. Jawa Tengah,Kab. Klaten,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031000
Prov. Jawa Tengah,Kab. Wonogiri,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031200
Prov. Jawa Tengah,Kab. Pemalang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032700
Prov. Jawa Tengah,Kab. Tegal,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032800
Prov. Jawa Tengah,Kota Semarang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/036300
Prov. Jawa Tengah,Kab. Pati,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031800
Prov. Jawa Tengah,Kab. Magelang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030800
Prov. Jawa Tengah,Kab. Blora,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031600
Prov. Jawa Tengah,Kab. Boyolali,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030900
Prov. Jawa Tengah,Kab. Kendal,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032400
Prov. Jawa Tengah,Kab. Banjarnegara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030400
Prov. Jawa Tengah,Kab. Jepara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032000
Prov. Jawa Tengah,Kab. Sragen,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031400
