provinsi,kab_kota,kecamatan,url
Prov. Jawa Barat,Kab. Cianjur,Kec. Sukaluyu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020715
Prov. Jawa Barat,Kab. Cianjur,Kec. Campaka,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020711
Prov. Jawa Barat,Kab. Cianjur,Kec. Naringgul,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020704
Prov. Jawa Barat,Kab. Cianjur,Kec. Sindang Barang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020702
Prov. Jawa Barat,Kab. Cianjur,Kec. Ciranjang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020717
Prov. Jawa Barat,Kab. Cianjur,Kec. Bojong Picung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020725
Prov. Jawa Barat,Kab. Cianjur,Kec. Mande,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020718
Prov. Jawa Barat,Kab. Cianjur,Kec. Pacet,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020722
Prov. Jawa Barat,Kab. Cianjur,Kec. Sukaresmi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020723
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020727
Prov. Jawa Barat,Kab. Cianjur,Kec. Takokak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020708
Prov. Jawa Barat,Kab. Cianjur,Kec. Warungkondang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020713
Prov. Jawa Barat,Kab. Cianjur,Kec. Cijati,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020729
Prov. Jawa Barat,Kab. Cianjur,Kec. Sukanagara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020709
Prov. Jawa Barat,Kab. Cianjur,Kec. Tanggeung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020706
Prov. Jawa Barat,Kab. Cianjur,Kec. Agrabinta,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020701
Prov. Jawa Barat,Kab. Cianjur,Kec. Leles,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020728
Prov. Jawa Barat,Kab. Cianjur,Kec. Pasirkuda,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020733
Prov. Jawa Barat,Kab. Cianjur,Kec. Haurwangi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020732
Prov. Jawa Barat,Kab. Cianjur,Kec. Gekbrong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020730
Prov. Jawa Barat,Kab. Cianjur,Kec. Campaka Mulya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020726
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cicurug,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020623
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cibadak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020621
Prov. Jawa Barat,Kab. Sukabumi,Kec. Pelabuhan Ratu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020611
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cisolok,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020629
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cisaat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020620
Prov. Jawa Barat,Kab. Sukabumi,Kec. Surade,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020603
Prov. Jawa Barat,Kab. Sukabumi,Kec. Nagrak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020622
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cikembar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020614
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020613
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Kulon,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020604
Prov. Jawa Barat,Kab. Sukabumi,Kec. Ciemas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020601
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cikidang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020628
Prov. Jawa Barat,Kab. Sukabumi,Kec. Simpenan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020635
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parungkuda,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020626
Prov. Jawa Barat,Kab. Sukabumi,Kec. Ciracap,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020602
Prov. Jawa Barat,Kab. Sukabumi,Kec. Warung Kiara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020612
Prov. Jawa Barat,Kab. Sukabumi,Kec. Nyalindung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020615
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukaraja,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020617
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sagaranten,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020608
Prov. Jawa Barat,Kab. Sukabumi,Kec. Gegerbitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020616
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cicantayan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020634
