provinsi,kab_kota,url
Prov. Papua,Kab. Jaya Wijaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/250800
Prov. Papua,Kota Jayapura,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/256000
Prov. Papua,Kab. Kepulauan Yapen,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/250300
Prov. Papua,Kab. Asmat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251500
Prov. Papua,Kab. Boven Digoel,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251300
Prov. Papua,Kab. Paniai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251000
Prov. Papua,Kab. Lanny Jaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253000
Prov. Papua,Kab. Tolikara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251800
Prov. Papua,Kab. Keerom,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/252000
Prov. Papua,Kab. Memberamo Raya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/252800
Prov. Papua,Kab. Sarmi,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251900
Prov. Papua,Kab. Pegunungan Bintang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251700
Prov. Papua,Kab. Dogiyai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253400
Prov. Papua,Kab. Waropen,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/252600
Prov. Papua,Kab. Yalimo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253200
Prov. Papua,Kab. Deiyai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253500
Prov. Papua,Kab. Supiori,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/252700
Prov. Papua,Kab. Membramo Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253100
Prov. Papua,kab. Puncak,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253300
Prov. Papua,Kab. Intan Jaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/253600
Prov. Papua,Kab. Nduga,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/252900
Prov. Papua,Kab. Puncak Jaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/251100
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/200500
Prov. Sulawesi Tenggara,Kab. Konawe,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/200100
Prov. Sulawesi Tenggara,Kab. Muna,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/200200
Prov. Sulawesi Tenggara,Kab. Kolaka,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/200400
Prov. Sulawesi Tenggara,Kab. Bombana,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/200700
Prov. Sulawesi Tenggara,Kota Kendari,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/206000
