areas,url_areas
Prov. Jawa Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/020000
Prov. Jawa Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/050000
Prov. Jawa Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/030000
Prov. Sumatera Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/070000
Prov. Sulawesi Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/190000
Prov. Nusa Tenggara Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/240000
Prov. Banten,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/280000
Prov. Lampung,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/120000
Prov. Sumatera Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/110000
Prov. Kalimantan Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/130000
Prov. Sumatera Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/080000
Prov. Riau,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/090000
Prov. Aceh,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/060000
Prov. Nusa Tenggara Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/230000
Prov. D.K.I. Jakarta,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/010000
Prov. Sulawesi Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/180000
Prov. Kalimantan Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/150000
Prov. Kalimantan Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/140000
Prov. Papua,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/250000
Prov. Sulawesi Tenggara,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/200000
Prov. Jambi,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/100000
Prov. Sulawesi Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/170000
Prov. Bali,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/220000
Prov. Kalimantan Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/160000
Prov. Maluku,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/210000
Prov. D.I. Yogyakarta,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/040000
Prov. Maluku Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/270000
Prov. Bengkulu,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/260000
Prov. Sulawesi Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/330000
Prov. Kepulauan Riau,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/310000
Prov. Papua Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/320000
Prov. Gorontalo,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/300000
Prov. Kepulauan Bangka Belitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/290000
Prov. Kalimantan Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/340000
Luar Negeri,http://dapo.dikdasmen.kemdikbud.go.id/sp/1/350000
